aassan,0,0,1
abajo,9,6,2
abalance,0,0,1
abalanzandose,1,1,0
abalanzaron,0,0,1
abalanzarse,1,0,0
abalanzo,1,1,2
abandona,0,2,1
abandonaban,1,0,0
abandonada,6,0,1
abandonadas,1,0,0
abandonado,3,1,2
abandonados,1,0,0
abandonamos,0,0,2
abandonan,1,0,0
abandonando,1,0,1
abandonandolas,0,0,1
abandonar,0,3,1
abandonare,0,0,1
abandonarla,1,1,0
abandonarme,0,0,1
abandonaron,3,0,0
abandonarse,2,0,0
abandonarte,0,0,1
abandonas,0,0,1
abandonaselo,0,0,1
abandonasen,0,0,1
abandone,0,0,2
abandonemos,0,1,0
abandono,0,6,4
abanico,1,0,1
abanicos,0,0,1
abarcando,1,1,0
abarco,0,1,0
abarrotada,0,0,1
abatia,0,1,0
abatidisimo,0,0,1
abatido,0,1,0
abatio,1,0,0
abbas,0,0,2
abdalah,0,0,2
abdicar,0,1,0
abdicara,0,1,0
abdomen,0,1,0
abejas,0,0,1
abencerraje,0,0,1
aberracion,0,1,0
abertura,0,1,1
abierta,2,0,5
abiertas,2,2,1
abierto,0,2,5
abiertos,1,4,0
abismarse,0,2,0
abismo,1,2,1
ablandarse,1,0,0
abluciones,0,0,2
abnegacion,0,1,0
abnegaciones,0,0,1
abofeteando,1,0,0
abofeteandose,0,0,1
abofeteo,0,1,1
abogado,2,0,0
abogados,1,1,0
abombada,1,0,0
abominable,0,1,0
abominables,1,1,1
abonare,0,0,1
abonos,1,0,0
aborrece,0,1,0
aborrecere,0,1,0
aborrecerte,0,1,0
aborrecia,1,1,0
aborrecidos,0,1,0
aborrezca,0,1,0
abortado,0,1,0
aborto,0,1,0
aboul,0,0,1
abovedada,0,0,2
abrame,0,1,0
abras,0,0,1
abrasaban,1,0,0
abrasada,0,0,1
abrasado,0,0,1
abrasantes,0,1,0
abrasara,0,0,1
abrasaron,0,0,1
abrasase,0,0,1
abraso,0,1,2
abrazaba,0,0,2
abrazada,0,0,1
abrazado,0,1,0
abrazados,0,0,1
abrazar,0,1,0
abrazaron,0,0,1
abrazase,0,0,1
abrazo,0,1,4
abrazos,1,0,1
abreme,0,0,1
abren,0,0,2
abres,0,0,1
abrevadero,0,0,1
abrevia,0,0,1
abria,1,5,4
abrian,1,0,1
abrianse,1,0,0
abrid,0,0,2
abriendo,3,2,3
abriendose,1,0,0
abriera,0,1,0
abrieran,0,1,0
abrieron,1,1,5
abrieronse,1,0,0
abrigo,0,0,1
abril,0,5,0
abrio,5,4,15
abrir,4,2,8
abriras,0,0,1
abrirla,0,1,1
abrirles,0,0,1
abrirlo,0,0,1
abrirse,0,2,1
abrocharse,0,1,0
abruma,0,1,0
abrumaba,1,0,0
abrumadas,1,0,0
abrumado,0,2,1
abrumador,0,1,1
abrumadora,1,0,0
abrumados,1,0,0
abrumandole,0,0,1
abrume,0,0,1
absolucion,0,2,0
absoluta,0,4,0
absolutamente,0,0,3
absolutismo,0,17,0
absolutista,0,4,0
absolutistas,0,5,0
absoluto,3,8,3
absorber,0,1,0
absorbi,0,0,1
absorbia,0,0,2
absorbian,0,0,1
